Timestamp,Viewer IPs,User ID,Country,Sport,Duration,Device,Channel
2024-06-07 09:00:00,129.239.149.63,19136,USA,Hockey,60,Desktop,Live Sports
2024-06-08 14:00:00,213.190.212.137,16984,South Africa,Tennis,120,Desktop,Live Sports
2024-06-10 06:00:00,232.113.112.61,11051,Canada,Soccer,30,Mobile,Events Channel 2
2024-06-08 01:00:00,8.170.57.110,16412,Mexico,Soccer,70,Mobile,Events Channel 2
2024-06-08 20:00:00,19.215.83.49,11373,Canada,Soccer,120,Tablet,Events Channel 2
2024-06-09 21:00:00,135.36.204.189,15851,Chile,Snowboarding,50,Desktop,Events Channel 2
2024-06-10 02:00:00,171.168.158.156,17900,Chile,Basketball,50,Desktop,Live Sports
2024-06-08 04:00:00,92.238.178.5,13912,Brazil,Hockey,40,Mobile,Live Sports
2024-06-07 05:00:00,101.58.87.6,16628,Brazil,Soccer,90,Tablet,Live Sports
2024-06-10 20:00:00,107.169.19.197,13594,Mexico,Swimming,40,Desktop,Events Channel 2
2024-06-08 20:00:00,156.50.189.35,13247,Canada,Hockey,40,Mobile,Live Sports
2024-06-09 05:00:00,136.202.98.170,18587,Mexico,Soccer,60,Desktop,Live Sports
2024-06-08 23:00:00,119.21.211.123,10370,South Africa,Tennis,10,Mobile,Main Channel
2024-06-07 18:00:00,80.128.240.88,19852,Brazil,Soccer,120,Tablet,Main Channel
2024-06-09 02:00:00,232.113.112.61,12681,Namibia,Snowboarding,80,Mobile,Events Channel 2
2024-06-09 21:00:00,223.72.248.237,10027,Mexico,Soccer,120,Tablet,Live Sports
2024-06-10 17:00:00,10.73.251.182,11187,Canada,Hockey,90,Mobile,Live Sports
2024-06-10 10:00:00,82.56.243.114,13374,Canada,Soccer,40,Desktop,Live Sports
2024-06-07 22:00:00,17.161.237.241,15147,USA,Tennis,60,Mobile,Events Channel 2
2024-06-08 03:00:00,184.105.251.191,11166,South Africa,Swimming,120,Mobile,Main Channel
2024-06-08 03:00:00,213.5.152.253,17721,South Africa,Basketball,50,Desktop,Live Sports
2024-06-10 03:00:00,189.133.142.195,11119,Brazil,Swimming,50,Desktop,Events Channel 2
2024-06-08 18:00:00,28.190.57.55,10859,Mexico,Swimming,10,Tablet,Live Sports
2024-06-09 04:00:00,64.45.7.245,16730,South Africa,Basketball,60,Tablet,Live Sports
2024-06-08 07:00:00,105.172.202.250,11727,Namibia,Snowboarding,70,Mobile,Live Sports
2024-06-07 09:00:00,34.43.70.160,18331,South Africa,Tennis,120,Mobile,Events Channel 2
2024-06-10 22:00:00,110.105.216.34,19677,South Africa,Swimming,40,Desktop,Live Sports
